"day","date","temp"
"sat","1","34"
"sun","2","35"
"mon","3","37"
"tue","4","34"
"wed","5","34"
"thr","6","30"
"fri","7","33"
"sat","8","28"
"sun","9","28"
"mon","10","29"
"tue","11","32"
"wed","12","37"
"thr","13","33"
"fri","14","32"
"sat","15","31"
"sun","16","32"
"mon","17","32"
"tue","18","30"
"wed","19","32"
"thr","20","34"
"fri","21","36"
"sat","22","34"
"sun","23","34"
"mon","24","34"
"tue","25","33"
"wed","26","30"
"thr","27","33"
"fri","28","31"
"sat","29","30"
"sun","30","33"
"mon","31","33"
